                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0418,                0.97899,                  1.228,                0.82654,                 0.9775,                0.95523,                0.80944,                0.51993,                0.98503,                0.81849,              0.0013466,              0.0013466,              0.0013466
                     35,                0.72533,                0.99943,                  1.031,                0.92799,                0.99142,                0.95943,                0.79285,                0.62067,                 0.9297,                0.85618,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0682,                 1.3733,                 1.3661,                0.92799,                0.99142,                0.95943,                0.79285,                0.62067,                 0.9297,                0.85618,               0.001307,               0.001307,               0.001307
                     37,                 0.9133,                  1.081,                 1.0716,                0.81708,                      1,                0.94577,                0.72745,                0.86376,                 1.2426,                0.96422,              0.0012872,              0.0012872,              0.0012872
                     38,                0.80722,                0.89411,                 1.0618,                0.84753,                0.99778,                0.92739,                0.73231,                0.85666,                 1.2935,                0.98191,              0.0012674,              0.0012674,              0.0012674
                     39,                0.82991,                0.98717,                 1.1077,                0.88612,                0.99765,                0.96972,                0.82636,                0.72797,                0.99714,                0.90447,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0138,                0.95654,                 1.1054,                0.88612,                0.99765,                0.96972,                0.82636,                0.72797,                0.99714,                0.90447,              0.0012278,              0.0012278,              0.0012278
                     41,                0.87549,                0.89469,                 1.1153,                 0.9215,                      1,                0.97963,                0.83979,                0.54479,                 1.0471,                0.80802,               0.001208,               0.001208,               0.001208
                     42,                 1.0859,                 1.0112,                 1.1415,                0.95006,                0.97552,                0.98941,                 0.8244,                0.63054,                0.92086,                0.83721,              0.0011882,              0.0011882,              0.0011882
                     43,                0.91593,                0.85494,                  1.162,                0.93713,                      1,                0.99023,                0.81651,                0.63307,                0.83067,                0.86017,              0.0011684,              0.0011684,              0.0011684
                     44,                0.98828,                 1.0842,                 1.0922,                0.93713,                      1,                0.99023,                0.81651,                0.63307,                0.83067,                0.86017,              0.0011486,              0.0011486,              0.0011486
                     45,                0.83389,                0.90315,                 1.0771,                0.94307,                0.94872,                0.97527,                0.79532,                0.70231,                0.67769,                0.90202,              0.0011288,              0.0011288,              0.0011288
                     46,                0.85703,                0.92558,                 1.0918,                0.88573,                      1,                0.98299,                0.79391,                0.69057,                0.84219,                0.88029,               0.001109,               0.001109,               0.001109
                     47,                 1.1111,                 1.1383,                 1.2253,                0.97492,                0.99661,                  0.992,                0.84749,                0.54729,                0.82729,                0.81818,              0.0010892,              0.0010892,              0.0010892
                     48,                0.93623,                 1.2979,                 1.1815,                0.97492,                0.99661,                  0.992,                0.84749,                0.54729,                0.82729,                0.81818,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0355,                  1.042,                 1.1744,                0.99491,                      1,                  0.995,                0.82891,                 0.4974,                0.70661,                0.83728,              0.0010496,              0.0010496,              0.0010496
                     50,                0.85124,                0.93796,                 1.1018,                0.99891,                0.97436,                0.99357,                0.82627,                0.52533,                0.65816,                0.83302,              0.0010298,              0.0010298,              0.0010298
                     51,                0.70235,                 1.2348,                 0.9918,                0.92478,                0.94577,                0.95496,                0.77308,                0.54612,                0.74128,                0.86227,                0.00101,                0.00101,                0.00101
                     52,                 1.0448,                 2.0354,                  1.181,                0.92478,                0.94577,                0.95496,                0.77308,                0.54612,                0.74128,                0.86227,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0108,                0.97022,                 1.2649,                0.94034,                0.80844,                0.92253,                0.71636,                0.79931,                0.91588,                0.95834,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2109,                0.90196,                 1.3557,                0.85584,                0.91346,                0.91051,                0.69595,                0.94514,                 1.0261,                 1.0448,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0736,                 1.5262,                 1.4176,                0.97044,                 0.8418,                 0.9128,                0.71881,                 1.0236,                 1.0562,                 1.0961,              0.0009308,              0.0009308,              0.0009308
                     56,                0.84761,                0.89188,                 1.1609,                0.97044,                 0.8418,                 0.9128,                0.71881,                 1.0236,                 1.0562,                 1.0961,               0.000911,               0.000911,               0.000911
                     57,                0.98769,                  1.017,                 1.1701,                0.97074,                0.89744,                0.93007,                0.74735,                0.96781,                 1.2151,                 1.0802,              0.0008912,              0.0008912,              0.0008912
                     58,                0.91668,                0.98817,                 1.1337,                 0.9449,                0.87956,                0.94578,                 0.7701,                0.95437,                 1.2359,                 1.0732,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1121,                    1.1,                 1.2332,                0.94644,                0.90632,                0.94542,                0.78793,                0.89451,                 1.0044,                 1.0446,              0.0008516,              0.0008516,              0.0008516
                     60,                0.92976,                 3.1564,                 1.1412,                0.94644,                0.90632,                0.94542,                0.78793,                0.89451,                 1.0044,                 1.0446,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1315,                   1.03,                 1.2213,                0.97184,                0.88521,                0.95379,                0.79607,                0.80897,                0.94911,                0.97282,               0.000812,               0.000812,               0.000812
